No	GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
1	128346	5.35e-97	5.35e-101	0.2927	-21.335.208	-6.245.449	1433.53	C1orf162	chromosome 1 open reading frame 162
2	3108	5.35e-97	9.90e-101	0.2795	-21.306.431	-59.558.839	1667.25	HLA-DMA	major histocompatibility complex, class II, DM alpha
3	3122	5.80e-95	1.61e-98	0.3112	-21.066.575	-65.567.293	3383.56	HLA-DRA	major histocompatibility complex, class II, DR alpha
4	284013	5.14e-93	1.90e-96	0.3426	-20.839.415	-71.390.233	190.02	VMO1	vitelline membrane outer layer 1 homolog
5	83706	1.65e-92	7.65e-96	0.2853	-20.772.674	-5.925.733	418.04	FERMT3	FERM domain containing kindlin 3
6	6035	5.28e-91	2.93e-94	0.3375	-20.596.809	-69.518.734	11271.95	RNASE1	ribonuclease A family member 1, pancreatic
7	1240	2.41e-90	1.56e-93	0.3634	-20.515.591	-74.550.929	428.52	CMKLR1	chemerin chemokine-like receptor 1
8	929	4.46e-89	3.30e-92	0.3206	-20.366.707	-65.297.734	5117.83	CD14	CD14 molecule
9	100527949	3.59e-86	3.32e-89	0.3728	-20.025.205	-74.644.033	156.75	GIMAP1-GIMAP5	GIMAP1-GIMAP5 readthrough
10	55340	3.59e-86	3.09e-89	0.3727	-20.028.814	-74.647.782	156.78	GIMAP5	GTPase, IMAP family member 5
11	7805	1.41e-84	1.43e-87	0.3336	-19.836.866	-66.171.646	2403.61	LAPTM5	lysosomal protein transmembrane 5
12	5925	3.29e-84	3.87e-87	0.2614	-19.786.747	-51.725.053	608.02	RB1	RB transcriptional corepressor 1
13	10870	3.29e-84	3.96e-87	0.3092	-19.785.636	-61.180.387	700.56	HCST	hematopoietic cell signal transducer
14	9535	7.02e-84	9.10e-87	0.3414	-19.743.654	-67.409.652	572.78	GMFG	glia maturation factor gamma
15	2207	9.78e-84	1.36e-86	0.3283	-19.723.417	-64.752.453	12372.29	FCER1G	Fc epsilon receptor Ig
16	241	2.41e-83	3.57e-86	0.3117	-19.674.458	-61.327.455	1310.3	ALOX5AP	arachidonate 5-lipoxygenase activating protein
17	130589	5.15e-83	8.10e-86	0.3055	-19.632.871	-59.977.026	729.34	GALM	galactose mutarotase
18	30835	5.44e-83	9.06e-86	0.3607	-19.627.209	-70.790.117	249.11	CD209	CD209 molecule
19	4318	8.10e-83	1.43e-85	0.3197	-19.604.154	-6.266.534	446.74	MMP9	matrix metallopeptidase 9
20	5055	2.50e-81	4.63e-84	0.3744	-19.426.232	-7.272.571	2195.26	SERPINB2	serpin family B member 2
21	56833	4.60e-81	8.95e-84	0.3453	-1.939.238	-66.961.701	576.43	SLAMF8	SLAM family member 8
22	2214	5.05e-81	1.03e-83	0.353	-19.385.199	-68.429.486	2616.95	FCGR3A	Fc gamma receptor IIIa
23	6039	8.62e-80	1.84e-82	0.3504	-19.236.378	-67.404.704	1005.14	RNASE6	ribonuclease A family member k6
24	948	1.15e-79	2.55e-82	0.3455	-19.219.247	-66.407.299	785.49	CD36	CD36 molecule
25	11326	2.44e-79	5.64e-82	0.3415	-19.178.124	-65.486.627	2267.48	VSIG4	V-set and immunoglobulin domain containing 4
26	3936	4.46e-79	1.07e-81	0.3505	-19.144.605	-67.093.996	2110.74	LCP1	lymphocyte cytosolic protein 1
27	64231	1.72e-78	4.31e-81	0.372	-19.072.112	-70.953.004	1601.81	MS4A6A	membrane spanning 4-domains A6A
